Date,Sector,Price,Volume,%Change,Volatility,
44601,Communication Services,244.07,72.483,0,0,1
44600,Communication Services,238.23,66.348,-2.3927562,0.016919341,
44599,Communication Services,238.47,72.406,0.100743,0.017631702,
44596,Communication Services,243.93,75.081,2.2895962,0.015477529,
44595,Communication Services,243.58,112.38,-0.1434838,0.017204473,
44594,Communication Services,261.44,87.495,7.3322933,0.052861727,
44593,Communication Services,253.61,87.338,-2.994951,0.073024645,
44592,Communication Services,250.41,121.121,-1.2617799,0.012255371,
44589,Communication Services,244.55,75.439,-2.3401621,0.007625314,
44588,Communication Services,237.62,85.625,-2.8337763,0.003490379,
44587,Communication Services,236.93,97.568,-0.2903796,0.017984531,
44586,Communication Services,238.81,85.553,0.7934833,0.007664068,
44585,Communication Services,244.27,110.739,2.2863364,0.010556066,
44582,Communication Services,243.22,102.89,-0.4298522,0.019206354,
44581,Communication Services,253.05,68.593,4.0416084,0.031618001,
44580,Communication Services,255.96,63,1.1499704,0.020446969,
44579,Communication Services,256.45,100.618,0.1914362,0.00677786,
44575,Communication Services,261.66,65.592,2.0315851,0.013011818,
44574,Communication Services,260.27,61.294,-0.5312237,0.018121795,
44573,Communication Services,263.96,53.076,1.4177585,0.013781385,
44572,Communication Services,263.02,52.899,-0.3561146,0.012543177,
44571,Communication Services,260.36,74.116,-1.0113299,0.004633072,
44568,Communication Services,260.3,81.766,-0.023045,0.00698823,
44567,Communication Services,261.12,70.913,0.3150211,0.002390489,
44566,Communication Services,260.2,82.551,-0.3523284,0.004718874,
44565,Communication Services,268.08,71.131,3.0284397,0.02390564,
44564,Communication Services,268.97,66.73,0.3319905,0.019066775,
44561,Communication Services,267.48,47.943,-0.5539651,0.006264652,
44560,Communication Services,270.76,35.616,1.2262599,0.012588092,
44559,Communication Services,270.45,35.568,-0.1144925,0.009480551,
44558,Communication Services,271.28,36.276,0.3068959,0.002979666,
44557,Communication Services,272.06,46.343,0.2875258,0.000136967,
44553,Communication Services,269.61,47.685,-0.9005366,0.00840087,
44552,Communication Services,267.76,48.467,-0.6861763,0.001515756,
44551,Communication Services,265.69,60.274,-0.7730804,0.000614504,
44550,Communication Services,261.28,62.317,-1.6598291,0.006270261,
44547,Communication Services,262.92,228.043,0.6276791,0.016175126,
44546,Communication Services,264.73,87.142,0.6884223,0.000429519,
44545,Communication Services,266.27,73.277,0.5817248,0.000754466,
44544,Communication Services,262.95,83.432,-1.2468547,0.012930009,
44543,Communication Services,264.32,68.413,0.5210116,0.012500702,
44540,Communication Services,266.26,54.233,0.7339588,0.001505764,
44539,Communication Services,265.8,57.453,-0.1727635,0.006411495,
44538,Communication Services,267.86,67.357,0.7750188,0.006701833,
44537,Communication Services,265.87,74.196,-0.7429254,0.010733487,
44536,Communication Services,262.45,71.374,-1.2863429,0.003842542,
44533,Communication Services,258.65,80.133,-1.4478948,0.001142344,
44532,Communication Services,259.86,91.042,0.4678136,0.013546105,
44531,Communication Services,255.73,77.621,-1.5893173,0.014546113,
