Date,Energy,Materials,Industrials,Con.Disc,Con.Stap,Healthcare,Financials,IT,Comm.Svc,Utilities,RealEstate
2/8/2021,1,1,1,1,1,1,1,1,1,1,1
2/15/2021,1.02959146,1.008442688,1.004912818,1.000678099,0.986585377,0.976835942,1.025627974,0.982133976,0.995928562,0.983855704,0.992521509
2/22/2021,1.071888099,0.98681211,0.995369631,0.979929536,0.962253193,0.949089983,1.02231289,0.936654355,0.959285907,0.93280495,0.980801506
3/1/2021,1.181247941,1.015406421,1.02061104,0.975318687,0.982926817,0.949217284,1.065026125,0.915372712,0.97713752,0.954548758,0.969527904
3/8/2021,1.197651994,1.066001058,1.064543499,1.023189572,1.008943136,0.963726626,1.105571835,0.937836699,1.00751638,0.998836528,1.022658858
3/15/2021,1.109842425,1.053799198,1.054379159,1.023596488,1.008710802,0.970090378,1.086064006,0.923622666,1.006576856,0.993455065,1.010045787
3/22/2021,1.125120601,1.074751893,1.066632804,1.014646081,1.038211394,0.985363345,1.088996608,0.939518168,1.019730692,1.012435503,1.036276372
3/29/2021,1.123029945,1.075676334,1.075893632,1.02685114,1.032055773,0.981799656,1.090526571,0.96153547,1.02160974,1.020798488,1.043978158
4/5/2021,1.073978755,1.07912736,1.092551812,1.053295364,1.044715431,0.992999835,1.109524378,1.003520735,1.027247072,1.032943045,1.046322159
4/12/2021,1.07864265,1.114438846,1.10147384,1.063330704,1.059465768,1.018454843,1.118959607,1.015448898,1.035076699,1.069885829,1.07288768
4/19/2021,1.058378868,1.116719064,1.107290081,1.052074913,1.055749165,1.034618824,1.121254647,1.011324001,1.038208644,1.058614008,1.09141649
4/26/2021,1.098263123,1.118875908,1.107064247,1.057770574,1.054006987,1.012472992,1.144970075,0.990357628,1.028812966,1.060432058,1.105927072
5/3/2021,1.198938614,1.189622162,1.139194814,1.053024195,1.072357765,1.034873336,1.188703341,0.978692138,1.060131475,1.050905391,1.098783418
5/10/2021,1.195078771,1.187280454,1.130442185,1.032818091,1.076538956,1.031564248,1.189723295,0.956674836,1.055120545,1.047778396,1.083603151
5/17/2021,1.168543004,1.16836132,1.112485174,1.021969122,1.074854815,1.042764414,1.180670636,0.960668478,1.034137175,1.049887283,1.092532664
5/24/2021,1.170151206,1.179392372,1.134846719,1.04000548,1.073344978,1.038691625,1.19227339,0.978114116,1.038208644,1.035633839,1.114856585
5/31/2021,1.255226809,1.186849025,1.136427831,1.030512613,1.084088248,1.030927835,1.204768558,0.987099726,1.054807391,1.04065167,1.144547445
6/7/2021,1.250562914,1.16836132,1.121068403,1.037428832,1.075900158,1.050528204,1.180543109,1.004703001,1.058565581,1.055050595,1.172898836
6/14/2021,1.183982036,1.090035131,1.077587703,1.02237593,1.041579583,1.042128001,1.110926903,1.009379701,1.025681178,1.02116212,1.136175974
6/21/2021,1.252492715,1.11203545,1.111073462,1.053024195,1.056446,1.059564719,1.165115351,1.032684384,1.050422831,1.021380279,1.148677404
6/28/2021,1.238501158,1.121217708,1.116776828,1.064279972,1.057781633,1.073819562,1.160652799,1.060692065,1.050422831,1.02174391,1.144547445
7/5/2021,1.197491139,1.121895597,1.117228587,1.070111285,1.061556366,1.076874138,1.152492656,1.069625078,1.053867899,1.030470527,1.172675552
7/12/2021,1.100032197,1.090651332,1.094189443,1.045972323,1.06980258,1.071783111,1.132474818,1.056934959,1.03946129,1.053668855,1.175466042
7/19/2021,1.097298215,1.098416224,1.113727486,1.075671307,1.074506401,1.092656205,1.13821238,1.089645641,1.053241497,1.044942239,1.181493501
7/26/2021,1.114345465,1.131385909,1.114292204,1.059262315,1.077235791,1.095965394,1.149942649,1.083024637,1.05950523,1.048651024,1.186404797
8/2/2021,1.114023754,1.129906954,1.11576035,1.062788244,1.069512202,1.102710946,1.190360844,1.094243523,1.057626057,1.071703879,1.193325246
8/9/2021,1.10839495,1.163492934,1.128691679,1.065500436,1.091637626,1.114038424,1.210761176,1.093192516,1.064829314,1.089084433,1.191650929
8/16/2021,1.029913171,1.124545458,1.102320918,1.060075944,1.093902429,1.131220529,1.183858192,1.09371802,1.066708456,1.106464981,1.189753329
8/23/2021,1.113541299,1.159179154,1.130668025,1.074450843,1.082868782,1.121165788,1.225168889,1.116865066,1.078296273,1.085521122,1.194329778
8/30/2021,1.103248601,1.151167797,1.126941168,1.084350436,1.097328747,1.140384345,1.200688487,1.128057652,1.085812653,1.101301778,1.238084641
9/6/2021,1.084110711,1.129352255,1.098650417,1.075806945,1.081591192,1.105765521,1.181945646,1.105514846,1.05950523,1.083048494,1.187632624
9/13/2021,1.119974252,1.093794297,1.083686308,1.076213767,1.075551743,1.104620097,1.183730664,1.100522875,1.053867899,1.051705332,1.187632624
9/20/2021,1.171116115,1.095026793,1.095826994,1.080146517,1.070964002,1.102710946,1.206808645,1.110217847,1.035076699,1.039924407,1.170108346
9/27/2021,1.225152782,1.084858499,1.077361778,1.060347222,1.043495965,1.065928471,1.199923511,1.068968238,1.029126245,1.012362825,1.152137578
10/4/2021,1.285944017,1.092746673,1.094076483,1.068348266,1.057607423,1.062746595,1.229121535,1.071779536,1.015032884,1.029161582,1.147561141
10/11/2021,1.303634577,1.132864963,1.114574564,1.092758397,1.06742161,1.073310449,1.244421752,1.103123937,1.006890135,1.044724087,1.187409329
10/18/2021,1.31939532,1.143464586,1.134112601,1.110930299,1.077003544,1.099656383,1.281014931,1.121541767,1.013153711,1.068067779,1.217100188
10/25/2021,1.3062078,1.145559835,1.133039689,1.137917091,1.078281047,1.11162016,1.27055976,1.140695255,0.995928562,1.063631738,1.217100188
11/1/2021,1.326632326,1.185185199,1.162967992,1.179549842,1.106852551,1.111874774,1.27400227,1.177294379,1.036329471,1.06923136,1.227592454
11/8/2021,1.30685111,1.215628213,1.169348956,1.156088993,1.102845571,1.112383887,1.276042356,1.180736217,1.023802036,1.062904584,1.22413219
11/15/2021,1.238340302,1.188882685,1.156982346,1.171006243,1.091173039,1.105511022,1.242381767,1.201939043,0.986846226,1.072721986,1.2213417
11/22/2021,1.254422644,1.163924264,1.124625944,1.13642535,1.087456436,1.090365254,1.23052406,1.161609029,0.985906671,1.063049948,1.205491738
11/29/2021,1.238661901,1.14112278,1.108475958,1.102386808,1.079152179,1.076492325,1.204131098,1.14552959,0.978077044,1.070758566,1.202924454
12/6/2021,1.290125458,1.182720116,1.139477088,1.133577411,1.116260188,1.106783747,1.232436619,1.208691383,0.990604416,1.098538314,1.236298772
12/13/2021,1.208427131,1.167560253,1.104240823,1.091673477,1.122938434,1.119002138,1.206043555,1.161451395,1.011901065,1.104210614,1.247237448
12/20/2021,1.237214538,1.182288786,1.128465755,1.129644769,1.132694578,1.137075169,1.225296417,1.1993642,1.028186721,1.108137667,1.262975857
12/27/2021,1.248150547,1.213286499,1.146083978,1.139137541,1.160743371,1.149802673,1.231289048,1.203778227,1.030692139,1.137371825,1.294899064
1/3/2022,1.375361804,1.198619555,1.142244077,1.108624928,1.164866431,1.099783683,1.288537524,1.142534358,1.018791074,1.119264123,1.239312467
1/10/2022,1.448214908,1.194860382,1.135185519,1.083401155,1.160046449,1.09354713,1.280887403,1.138882368,1.014719762,1.104283409,1.221899831
1/17/2022,1.389675201,1.123189687,1.07877349,0.99945754,1.137166146,1.060582945,1.196608415,1.057329048,0.960851863,1.091484266,1.174573141
1/24/2022,1.460115809,1.111172697,1.058388374,0.993219419,1.131068568,1.061346557,1.209613706,1.076797804,0.955527717,1.07912155,1.171447725
1/31/2022,1.530717272,1.11406911,1.065390492,1.02454577,1.132229991,1.071528599,1.252454456,1.093192516,0.956780426,1.084284862,1.172229062
2/7/2022,1.547282068,1.110802955,1.066632804,1.02346085,1.135423969,1.07165581,1.257171975,1.087832756,0.955214532,1.08290313,1.170554835
2/7/2022,1.547282068,1.110802955,1.066632804,1.02346085,1.135423969,1.07165581,1.257171975,1.087832756,0.955214532,1.08290313,1.170554835
