Sector,Date,Price,%Change,Volatility
Energy,2/8/2021,62.18,0.0%,0
Energy,2/15/2021,64.019997,3.0%,0.020924322
Energy,2/22/2021,66.650002,4.1%,0.008124326
Energy,3/1/2021,73.449997,10.2%,0.043094224
Energy,3/8/2021,74.470001,1.4%,0.062323243
Energy,3/15/2021,69.010002,-7.3%,0.061663355
Energy,3/22/2021,69.959999,1.4%,0.061577812
Energy,3/29/2021,69.830002,-0.2%,0.011048005
Energy,4/5/2021,66.779999,-4.4%,0.029570769
Energy,4/12/2021,67.07,0.4%,0.033955393
Energy,4/19/2021,65.809998,-1.9%,0.016354676
Energy,4/26/2021,68.290001,3.8%,0.039930788
Energy,5/3/2021,74.550003,9.2%,0.038172188
Energy,5/10/2021,74.309998,-0.3%,0.067095452
Energy,5/17/2021,72.660004,-2.2%,0.013424292
Energy,5/24/2021,72.760002,0.1%,0.016673892
Energy,5/31/2021,78.050003,7.3%,0.050436901
Energy,6/7/2021,77.760002,-0.4%,0.054037365
Energy,6/14/2021,73.620003,-5.3%,0.035019567
Energy,6/21/2021,77.879997,5.8%,0.078563349
Energy,6/28/2021,77.010002,-1.1%,0.048815538
Energy,7/5/2021,74.459999,-3.3%,0.015515091
Energy,7/12/2021,68.400002,-8.1%,0.034134391
Energy,7/19/2021,68.230003,-0.2%,0.055791131
Energy,7/26/2021,69.290001,1.6%,0.012742788
Energy,8/2/2021,69.269997,0.0%,0.011189511
Energy,8/9/2021,68.919998,-0.5%,0.003368641
Energy,8/16/2021,64.040001,-7.1%,0.046495108
Energy,8/23/2021,69.239998,8.1%,0.107484398
Energy,8/30/2021,68.599998,-0.9%,0.063952445
Energy,9/6/2021,67.410004,-1.7%,0.005730138
Energy,9/13/2021,69.639999,3.3%,0.035657925
Energy,9/20/2021,72.82,4.6%,0.00889707
Energy,9/27/2021,76.18,4.6%,0.000337815
Energy,10/4/2021,79.959999,5.0%,0.002459416
Energy,10/11/2021,81.059998,1.4%,0.025358577
Energy,10/18/2021,82.040001,1.2%,0.00117876
Energy,10/25/2021,81.220001,-1.0%,0.015616433
Energy,11/1/2021,82.489998,1.6%,0.018124299
Energy,11/8/2021,81.260002,-1.5%,0.021600242
Energy,11/15/2021,77,-5.2%,0.026526043
Energy,11/22/2021,78,1.3%,0.046252811
Energy,11/29/2021,77.019997,-1.3%,0.018067394
Energy,12/6/2021,80.220001,4.2%,0.038262852
Energy,12/13/2021,75.139999,-6.3%,0.074156821
Energy,12/20/2021,76.93,2.4%,0.061623006
Energy,12/27/2021,77.610001,0.9%,0.010594577
Energy,1/3/2022,85.519997,10.2%,0.065817913
Energy,1/10/2022,90.050003,5.3%,0.03461264
Energy,1/17/2022,86.410004,-4.0%,0.066038196
Energy,1/24/2022,90.790001,5.1%,0.064424864
Energy,1/31/2022,95.18,4.8%,0.001651242
Energy,2/7/2022,96.209999,1.1%,0.026538948
Energy,2/7/2022,96.209999,0.0%,0.00765202
Materials,2/8/2021,162.270004,0.0%,0
Materials,2/15/2021,163.639999,0.8%,0.005969882
Materials,2/22/2021,160.130005,-2.1%,0.021136959
Materials,3/1/2021,164.770004,2.9%,0.035656521
Materials,3/8/2021,172.979996,5.0%,0.014743553
Materials,3/15/2021,171,-1.1%,0.043326815
Materials,3/22/2021,174.399994,2.0%,0.022153226
